,file,Silence,Baby laughter,"Baby cry, infant cry"
448,v81_ns-37,0.1484375,0.1484375,0.01953125
449,v81_ns-38,0.1484375,0.04296875,0.01953125
450,v81_ns-39,0.1484375,0.015625,0.00390625
451,v81_ns-4,0.19921875,0.33203125,0.4140625
452,v81_ns-40,0.19921875,0.0,0.0
453,v81_ns-41,0.1484375,0.0078125,0.0
454,v81_ns-42,0.1484375,0.19921875,0.04296875
455,v81_ns-43,0.1484375,0.0,0.0
456,v81_ns-44,0.1484375,0.0,0.0
457,v81_ns-45,0.19921875,0.26171875,0.04296875
458,v81_ns-5,0.109375,0.5859375,0.04296875
459,v81_ns-6,0.19921875,0.33203125,0.26171875
460,v81_ns-7,0.1484375,0.03125,0.5859375
461,v81_ns-8,0.1484375,0.03125,0.33203125
462,v81_ns-9,0.26171875,0.1484375,0.08203125
463,v84_ns-1,0.1484375,0.0,0.0
464,v84_ns-2,0.1484375,0.0,0.0
465,v84_ns-3,0.19921875,0.0,0.0
466,v84_ns-4,0.19921875,0.0,0.0
467,v84_ns-5,0.1484375,0.0,0.0
468,v84_ns-6,0.1484375,0.0,0.0
469,v84_ns-7,0.19921875,0.0,0.0
470,v84_ns-8,0.1484375,0.0,0.0
471,v84_s-1,0.1484375,0.0,0.0
472,v84_s-2,0.1484375,0.0,0.0
473,v84_s-3,0.19921875,0.0,0.0
474,v84_s-4,0.1484375,0.0,0.0
475,v85_ns-1,0.19921875,0.0,0.0
476,v85_ns-10,0.1484375,0.0,0.0
477,v85_ns-11,0.1484375,0.0,0.0
478,v85_ns-12,0.109375,0.0,0.0
479,v85_ns-2,0.1484375,0.0,0.0
480,v85_ns-3,0.109375,0.0,0.0
481,v85_ns-4,0.1484375,0.0,0.0
482,v85_ns-5,0.1484375,0.0,0.0
483,v85_ns-6,0.1484375,0.0,0.0
484,v85_ns-7,0.1484375,0.0,0.0
485,v85_ns-8,0.19921875,0.0,0.0
486,v85_ns-9,0.19921875,0.0,0.0
487,v86_ns-1,0.19921875,0.00390625,0.015625
488,v86_ns-10,0.19921875,0.00390625,0.0078125
489,v86_ns-11,0.19921875,0.0078125,0.04296875
490,v86_ns-12,0.19921875,0.015625,0.015625
491,v86_ns-13,0.1484375,0.0,0.0
492,v86_ns-14,0.1484375,0.00390625,0.00390625
493,v86_ns-2,0.1484375,0.26171875,0.109375
494,v86_ns-3,0.19921875,0.01171875,0.0
495,v86_ns-4,0.1484375,0.00390625,0.0078125
496,v86_ns-5,0.1484375,0.26171875,0.015625
497,v86_ns-6,0.1484375,0.19921875,0.01171875
498,v86_ns-7,0.109375,0.01171875,0.0
499,v86_ns-8,0.1484375,0.00390625,0.01953125
500,v86_ns-9,0.1484375,0.0,0.00390625
501,v87_ns-1,0.109375,0.0,0.0
502,v87_ns-10,0.1484375,0.0,0.0
503,v87_ns-11,0.1484375,0.0,0.0
504,v87_ns-12,0.1484375,0.0,0.0
505,v87_ns-13,0.109375,0.0,0.0
506,v87_ns-14,0.1484375,0.0,0.0
507,v87_ns-2,0.1484375,0.0,0.0
508,v87_ns-3,0.1484375,0.0,0.0
509,v87_ns-4,0.109375,0.0,0.0
510,v87_ns-5,0.1484375,0.0,0.0
511,v87_ns-6,0.109375,0.0,0.0
512,v87_ns-7,0.19921875,0.0,0.0
513,v87_ns-8,0.109375,0.0,0.0
514,v87_ns-9,0.1484375,0.0,0.0
515,v97_ns-1,0.1484375,0.0,0.0
516,v97_ns-10,0.109375,0.0,0.0
517,v97_ns-11,0.1484375,0.0,0.0
518,v97_ns-12,0.1484375,0.0,0.0
519,v97_ns-13,0.1484375,0.0,0.0
520,v97_ns-14,0.1484375,0.0,0.0
521,v97_ns-15,0.109375,0.0,0.0
522,v97_ns-16,0.1484375,0.0,0.0
523,v97_ns-17,0.109375,0.0,0.0
524,v97_ns-18,0.1484375,0.0,0.0
525,v97_ns-19,0.19921875,0.0,0.0
526,v97_ns-2,0.1484375,0.0,0.0
527,v97_ns-20,0.1484375,0.0,0.0
528,v97_ns-21,0.1484375,0.0,0.0
529,v97_ns-22,0.1484375,0.0,0.0
